userId,Champions,Rating
hideonbush,viktor,5.0
hideonbush,leblanc,4.5
hideonbush,vex,4.0
hideonbush,corki,3.5
hideonbush,leesin,3.0
hideonbush,akshan,2.5
hideonbush,tryndamere,2.0
